college_name,branch,category,cutoff
"E001 Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",ARTIFICIAL,GM,4628.0
"E001 Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",INTELLIGENCE AND DATA SCIENCE CIVIL,GM,45486.0
"E001 Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",ENGINEERING COMPUTER,GM,3473.0
"E001 Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",SCIENCE AND ENGINEERING ELECTRICAL &,GM,13703.0
"E001 Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",ELECTRONICS ENGINEERING ELECTRONICS AND,GM,5418.0
"E001 Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",COMMUNICATION ENGG INFORMATION,GM,4625.5
"E001 Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",SCIENCE AND ENGINEERING MECHANICAL,GM,32642.0
"E002 Govt.S K S J T Institute of Engineering, Bangalore AMBEDKAR VEEDHI, K.R. CIRCLE, BANGALORE-01",CIVIL,GM,72936.0
"E002 Govt.S K S J T Institute of Engineering, Bangalore AMBEDKAR VEEDHI, K.R. CIRCLE, BANGALORE-01",ENGINEERING COMPUTER,GM,14802.5
"E002 Govt.S K S J T Institute of Engineering, Bangalore AMBEDKAR VEEDHI, K.R. CIRCLE, BANGALORE-01",SCIENCE AND ENGINEERING ELECTRONICS AND,GM,23532.0
"E002 Govt.S K S J T Institute of Engineering, Bangalore AMBEDKAR VEEDHI, K.R. CIRCLE, BANGALORE-01",COMMUNICATION ENGG SILK TECHNOLOGY,GM,92321.0
"E002 Govt.S K S J T Institute of Engineering, Bangalore AMBEDKAR VEEDHI, K.R. CIRCLE, BANGALORE-01",TEXTILES,GM,124784.0
"E003 B M S College of Engineering, Basavanagudi, Bangalore (AUTONOMOUS) POST BOX NO 1908, BULL TEMPLE ROAD,BANGALORE",CIVIL,GM,25511.0
"E003 B M S College of Engineering, Basavanagudi, Bangalore (AUTONOMOUS) POST BOX NO 1908, BULL TEMPLE ROAD,BANGALORE",ENGINEERING ELECTRICAL &,GM,5247.0
"E003 B M S College of Engineering, Basavanagudi, Bangalore (AUTONOMOUS) POST BOX NO 1908, BULL TEMPLE ROAD,BANGALORE",ELECTRONICS ENGINEERING ELECTRONICS AND,GM,1417.0
"E003 B M S College of Engineering, Basavanagudi, Bangalore (AUTONOMOUS) POST BOX NO 1908, BULL TEMPLE ROAD,BANGALORE",COMMUNICATION ENGG INDUSTRIAL,GM,24781.0
"E003 B M S College of Engineering, Basavanagudi, Bangalore (AUTONOMOUS) POST BOX NO 1908, BULL TEMPLE ROAD,BANGALORE",ENGINEERING & MANAGEMENT MECHANICAL,GM,7440.0
"E004 Dr. Ambedkar Institute of Technology, Bangalore(AUTONOMOUS) OUTER RING ROAD,NEAR JNANA BHARATHI CAMPUS,MALLATHAHALLI,BANGALORE-560056",CIVIL,GM,76735.0
"E004 Dr. Ambedkar Institute of Technology, Bangalore(AUTONOMOUS) OUTER RING ROAD,NEAR JNANA BHARATHI CAMPUS,MALLATHAHALLI,BANGALORE-560056",ENGINEERING COMPUTER,GM,8212.0
"E004 Dr. Ambedkar Institute of Technology, Bangalore(AUTONOMOUS) OUTER RING ROAD,NEAR JNANA BHARATHI CAMPUS,MALLATHAHALLI,BANGALORE-560056",SCIENCE AND ENGINEERING ELECTRICAL &,GM,27992.5
"E004 Dr. Ambedkar Institute of Technology, Bangalore(AUTONOMOUS) OUTER RING ROAD,NEAR JNANA BHARATHI CAMPUS,MALLATHAHALLI,BANGALORE-560056",ELECTRONICS ENGINEERING ELECTRONICS AND,GM,16042.0
"E004 Dr. Ambedkar Institute of Technology, Bangalore(AUTONOMOUS) OUTER RING ROAD,NEAR JNANA BHARATHI CAMPUS,MALLATHAHALLI,BANGALORE-560056",COMMUNICATION ENGG ELECTRONICS AND,GM,37291.0
"E004 Dr. Ambedkar Institute of Technology, Bangalore(AUTONOMOUS) OUTER RING ROAD,NEAR JNANA BHARATHI CAMPUS,MALLATHAHALLI,BANGALORE-560056",INSTRUMENTATION ENGINEERING ELECTRONICS AND,GM,30617.0
"E004 Dr. Ambedkar Institute of Technology, Bangalore(AUTONOMOUS) OUTER RING ROAD,NEAR JNANA BHARATHI CAMPUS,MALLATHAHALLI,BANGALORE-560056",TELECOMMUNICAT ION ENGINEERING INDUSTRIAL,GM,63094.0
"E004 Dr. Ambedkar Institute of Technology, Bangalore(AUTONOMOUS) OUTER RING ROAD,NEAR JNANA BHARATHI CAMPUS,MALLATHAHALLI,BANGALORE-560056",ENGINEERING & MANAGEMENT MECHANICAL,GM,67330.5
"E005 R. V. College of Engineering, Bangalore(AUTONOMOUS) R.V. VIDYANIKETAN POST, MYSORE ROAD,BANGALORE",AERO SPACE,GM,1932.0
"E005 R. V. College of Engineering, Bangalore(AUTONOMOUS) R.V. VIDYANIKETAN POST, MYSORE ROAD,BANGALORE",ENGINEERING BIO-TECHNOLOGY,GM,3963.0
"E005 R. V. College of Engineering, Bangalore(AUTONOMOUS) R.V. VIDYANIKETAN POST, MYSORE ROAD,BANGALORE",CHEMICAL,GM,5906.0
"E005 R. V. College of Engineering, Bangalore(AUTONOMOUS) R.V. VIDYANIKETAN POST, MYSORE ROAD,BANGALORE",ENGINEERING CIVIL,GM,9539.0
"E005 R. V. College of Engineering, Bangalore(AUTONOMOUS) R.V. VIDYANIKETAN POST, MYSORE ROAD,BANGALORE",ENGINEERING COMPUTER,GM,429.0
"E005 R. V. College of Engineering, Bangalore(AUTONOMOUS) R.V. VIDYANIKETAN POST, MYSORE ROAD,BANGALORE",SCIENCE AND ENGG(ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING) COMPUTER,GM,234.0
"E005 R. V. College of Engineering, Bangalore(AUTONOMOUS) R.V. VIDYANIKETAN POST, MYSORE ROAD,BANGALORE",SCIENCE AND ENGINEERING COMPUTER,GM,508.0
"E005 R. V. College of Engineering, Bangalore(AUTONOMOUS) R.V. VIDYANIKETAN POST, MYSORE ROAD,BANGALORE",SCIENCE AND ENGINEERING (CYBER SECURITY) COMPUTER,GM,367.0
"E005 R. V. College of Engineering, Bangalore(AUTONOMOUS) R.V. VIDYANIKETAN POST, MYSORE ROAD,BANGALORE",SCIENCE AND ENGINEERING(DAT A SCIENCE) ELECTRICAL &,GM,1126.75
"E005 R. V. College of Engineering, Bangalore(AUTONOMOUS) R.V. VIDYANIKETAN POST, MYSORE ROAD,BANGALORE",ELECTRONICS ENGINEERING ELECTRONICS AND,GM,573.0
"E005 R. V. College of Engineering, Bangalore(AUTONOMOUS) R.V. VIDYANIKETAN POST, MYSORE ROAD,BANGALORE",COMMUNICATION ENGG ELECTRONICS AND,GM,987.0
"E005 R. V. College of Engineering, Bangalore(AUTONOMOUS) R.V. VIDYANIKETAN POST, MYSORE ROAD,BANGALORE",TELECOMMUNICAT ION ENGINEERING INDUSTRIAL,GM,8703.0
"E005 R. V. College of Engineering, Bangalore(AUTONOMOUS) R.V. VIDYANIKETAN POST, MYSORE ROAD,BANGALORE",ENGINEERING & MANAGEMENT MECHANICAL,GM,2900.5
"E006 M S Ramaiah Institute of Technology, Bangalore(AUTONOMOUS) VIDYA SOUDHA,MSR NAGAR,MSRIT POST,BANGALORE - 560054.",AERO SPACE,GM,5172.0
"E006 M S Ramaiah Institute of Technology, Bangalore(AUTONOMOUS) VIDYA SOUDHA,MSR NAGAR,MSRIT POST,BANGALORE - 560054.",ENGINEERING ARTIFICIAL,GM,2063.0
"E006 M S Ramaiah Institute of Technology, Bangalore(AUTONOMOUS) VIDYA SOUDHA,MSR NAGAR,MSRIT POST,BANGALORE - 560054.",INTELLIGENCE AND DATA SCIENCE ARTIFICIAL,GM,1910.5
"E006 M S Ramaiah Institute of Technology, Bangalore(AUTONOMOUS) VIDYA SOUDHA,MSR NAGAR,MSRIT POST,BANGALORE - 560054.",INTELLIGENCE AND MACHINE LEARNING BIO-TECHNOLOGY,GM,9246.0
"E006 M S Ramaiah Institute of Technology, Bangalore(AUTONOMOUS) VIDYA SOUDHA,MSR NAGAR,MSRIT POST,BANGALORE - 560054.",5 CHEMICAL,GM,13325.0
"E006 M S Ramaiah Institute of Technology, Bangalore(AUTONOMOUS) VIDYA SOUDHA,MSR NAGAR,MSRIT POST,BANGALORE - 560054.",ENGINEERING CIVIL,GM,23457.0
"E006 M S Ramaiah Institute of Technology, Bangalore(AUTONOMOUS) VIDYA SOUDHA,MSR NAGAR,MSRIT POST,BANGALORE - 560054.",ENGINEERING COMPUTER,GM,1694.0
"E006 M S Ramaiah Institute of Technology, Bangalore(AUTONOMOUS) VIDYA SOUDHA,MSR NAGAR,MSRIT POST,BANGALORE - 560054.",SCIENCE AND ENGG(ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING) COMPUTER,GM,1100.0
"E006 M S Ramaiah Institute of Technology, Bangalore(AUTONOMOUS) VIDYA SOUDHA,MSR NAGAR,MSRIT POST,BANGALORE - 560054.",SCIENCE AND ENGINEERING COMPUTER,GM,1915.0
"E006 M S Ramaiah Institute of Technology, Bangalore(AUTONOMOUS) VIDYA SOUDHA,MSR NAGAR,MSRIT POST,BANGALORE - 560054.",SCIENCE AND ENGINEERING (CYBER SECURITY) ELECTRICAL &,GM,4787.0
"E006 M S Ramaiah Institute of Technology, Bangalore(AUTONOMOUS) VIDYA SOUDHA,MSR NAGAR,MSRIT POST,BANGALORE - 560054.",ELECTRONICS ENGINEERING ELECTRONICS AND,GM,2567.0
"E006 M S Ramaiah Institute of Technology, Bangalore(AUTONOMOUS) VIDYA SOUDHA,MSR NAGAR,MSRIT POST,BANGALORE - 560054.",COMMUNICATION ENGG ELECTRONICS AND,GM,5254.0
"E006 M S Ramaiah Institute of Technology, Bangalore(AUTONOMOUS) VIDYA SOUDHA,MSR NAGAR,MSRIT POST,BANGALORE - 560054.",INSTRUMENTATION ENGINEERING ELECTRONICS AND,GM,3720.0
"E006 M S Ramaiah Institute of Technology, Bangalore(AUTONOMOUS) VIDYA SOUDHA,MSR NAGAR,MSRIT POST,BANGALORE - 560054.",TELECOMMUNICAT ION ENGINEERING INDUSTRIAL,GM,25298.0
"E006 M S Ramaiah Institute of Technology, Bangalore(AUTONOMOUS) VIDYA SOUDHA,MSR NAGAR,MSRIT POST,BANGALORE - 560054.",ENGINEERING & MANAGEMENT INFORMATION,GM,2473.0
"E006 M S Ramaiah Institute of Technology, Bangalore(AUTONOMOUS) VIDYA SOUDHA,MSR NAGAR,MSRIT POST,BANGALORE - 560054.",SCIENCE AND ENGINEERING MECHANICAL,GM,8718.0
"E006 M S Ramaiah Institute of Technology, Bangalore(AUTONOMOUS) VIDYA SOUDHA,MSR NAGAR,MSRIT POST,BANGALORE - 560054.",ENGINEERING MEDICAL,GM,17678.0
"E007 Dayananda Sagar College of Engineering, Bangalore(AUTONOMOUS) SHAVIGE MALLESHWARA HILLS, KUMARASWAMY LAYOUT, BANGALORE-560078",AERONAUTICAL,GM,8972.0
