college_name,branch,category,round1_cutoff,round3_cutoff,city,college_type,intake
"E001 Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Artificial Intelligence and Data Science,GM,45486.0,55203.0,Bangalore,Government,
"E001 Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Civil Engineering,GM,3473.0,5020.0,Bangalore,Government,
"E001 Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Computer Science and Engineering (AI & ML),GM,13703.0,22495.0,Bangalore,Government,
"E001 Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Electronics and Communication Engineering,GM,4625.5,7713.0,Bangalore,Government,
"E001 Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Mechatronics Engineering,GM,5418.0,9544.0,Bangalore,Government,
"E002 Govt.S K S J T Institute of Engineering, Bangalore AMBEDKAR VEEDHI, K.R. CIRCLE, BANGALORE-01",Biotechnology,GM,,261534.0,Bangalore,Government,
"E002 Govt.S K S J T Institute of Engineering, Bangalore AMBEDKAR VEEDHI, K.R. CIRCLE, BANGALORE-01",Civil Engineering,GM,14802.5,26717.0,Bangalore,Government,
"E002 Govt.S K S J T Institute of Engineering, Bangalore AMBEDKAR VEEDHI, K.R. CIRCLE, BANGALORE-01",Computer Science and Engineering,GM,23532.0,37502.0,Bangalore,Government,
"E002 Govt.S K S J T Institute of Engineering, Bangalore AMBEDKAR VEEDHI, K.R. CIRCLE, BANGALORE-01",Electronics and Communication Engineering,GM,92321.0,247848.0,Bangalore,Government,
"E003 B M S College of Engineering, Basavanagudi, Bangalore (AUTONOMOUS) POST BOX NO 1908, BULL TEMPLE ROAD,BANGALORE",Civil Engineering,GM,5247.0,10575.7,Bangalore,Autonomous,
"E003 B M S College of Engineering, Basavanagudi, Bangalore (AUTONOMOUS) POST BOX NO 1908, BULL TEMPLE ROAD,BANGALORE",Electronics and Communication Engineering,GM,24781.0,32144.0,Bangalore,Autonomous,
"E003 B M S College of Engineering, Basavanagudi, Bangalore (AUTONOMOUS) POST BOX NO 1908, BULL TEMPLE ROAD,BANGALORE",Mechatronics Engineering,GM,1417.0,3114.0,Bangalore,Autonomous,
"E004 Dr. Ambedkar Institute of Technology, Bangalore(AUTONOMOUS) OUTER RING ROAD,NEAR JNANA BHARATHI CAMPUS,MALLATHAHALLI,BANGALORE-560056",Civil Engineering,GM,8212.0,12452.0,Bangalore,Autonomous,
"E004 Dr. Ambedkar Institute of Technology, Bangalore(AUTONOMOUS) OUTER RING ROAD,NEAR JNANA BHARATHI CAMPUS,MALLATHAHALLI,BANGALORE-560056",Computer Science and Engineering (AI & ML),GM,27992.5,42369.0,Bangalore,Autonomous,
"E004 Dr. Ambedkar Institute of Technology, Bangalore(AUTONOMOUS) OUTER RING ROAD,NEAR JNANA BHARATHI CAMPUS,MALLATHAHALLI,BANGALORE-560056",Electronics and Communication Engineering,GM,37291.0,64272.0,Bangalore,Autonomous,
"E004 Dr. Ambedkar Institute of Technology, Bangalore(AUTONOMOUS) OUTER RING ROAD,NEAR JNANA BHARATHI CAMPUS,MALLATHAHALLI,BANGALORE-560056",Information Science and Engineering,GM,30617.0,46109.0,Bangalore,Autonomous,
"E004 Dr. Ambedkar Institute of Technology, Bangalore(AUTONOMOUS) OUTER RING ROAD,NEAR JNANA BHARATHI CAMPUS,MALLATHAHALLI,BANGALORE-560056",Mechatronics Engineering,GM,16042.0,21989.0,Bangalore,Autonomous,
"E005 R. V. College of Engineering, Bangalore(AUTONOMOUS) R.V. VIDYANIKETAN POST, MYSORE ROAD,BANGALORE",Aerospace Engineering,GM,1932.0,2069.0,Bangalore,Autonomous,
"E005 R. V. College of Engineering, Bangalore(AUTONOMOUS) R.V. VIDYANIKETAN POST, MYSORE ROAD,BANGALORE",Artificial Intelligence and Machine Learning,GM,234.0,499.0,Bangalore,Autonomous,
"E005 R. V. College of Engineering, Bangalore(AUTONOMOUS) R.V. VIDYANIKETAN POST, MYSORE ROAD,BANGALORE",Biotechnology,GM,3963.0,11049.0,Bangalore,Autonomous,
"E005 R. V. College of Engineering, Bangalore(AUTONOMOUS) R.V. VIDYANIKETAN POST, MYSORE ROAD,BANGALORE",Chemical Engineering,GM,5906.0,,Bangalore,Autonomous,
"E005 R. V. College of Engineering, Bangalore(AUTONOMOUS) R.V. VIDYANIKETAN POST, MYSORE ROAD,BANGALORE",Civil Engineering,GM,429.0,742.0,Bangalore,Autonomous,
"E005 R. V. College of Engineering, Bangalore(AUTONOMOUS) R.V. VIDYANIKETAN POST, MYSORE ROAD,BANGALORE",Computer Science and Engineering,GM,508.0,990.0,Bangalore,Autonomous,
"E005 R. V. College of Engineering, Bangalore(AUTONOMOUS) R.V. VIDYANIKETAN POST, MYSORE ROAD,BANGALORE",Computer Science and Engineering (Data Science),GM,367.0,944.0,Bangalore,Autonomous,
"E005 R. V. College of Engineering, Bangalore(AUTONOMOUS) R.V. VIDYANIKETAN POST, MYSORE ROAD,BANGALORE",Electronics and Communication Engineering,GM,987.0,1422.0,Bangalore,Autonomous,
"E005 R. V. College of Engineering, Bangalore(AUTONOMOUS) R.V. VIDYANIKETAN POST, MYSORE ROAD,BANGALORE",Mechatronics Engineering,GM,573.0,1100.0,Bangalore,Autonomous,
"E006 M S Ramaiah Institute of Technology, Bangalore(AUTONOMOUS) VIDYA SOUDHA,MSR NAGAR,MSRIT POST,BANGALORE - 560054.",Aerospace Engineering,GM,5172.0,6536.0,Bangalore,Autonomous,
"E006 M S Ramaiah Institute of Technology, Bangalore(AUTONOMOUS) VIDYA SOUDHA,MSR NAGAR,MSRIT POST,BANGALORE - 560054.",Artificial Intelligence and Data Science,GM,1910.5,3429.0,Bangalore,Autonomous,
"E006 M S Ramaiah Institute of Technology, Bangalore(AUTONOMOUS) VIDYA SOUDHA,MSR NAGAR,MSRIT POST,BANGALORE - 560054.",Artificial Intelligence and Machine Learning,GM,1100.0,2076.0,Bangalore,Autonomous,
"E006 M S Ramaiah Institute of Technology, Bangalore(AUTONOMOUS) VIDYA SOUDHA,MSR NAGAR,MSRIT POST,BANGALORE - 560054.",Biotechnology,GM,,21060.0,Bangalore,Autonomous,
"E006 M S Ramaiah Institute of Technology, Bangalore(AUTONOMOUS) VIDYA SOUDHA,MSR NAGAR,MSRIT POST,BANGALORE - 560054.",Chemical Engineering,GM,13325.0,,Bangalore,Autonomous,
"E006 M S Ramaiah Institute of Technology, Bangalore(AUTONOMOUS) VIDYA SOUDHA,MSR NAGAR,MSRIT POST,BANGALORE - 560054.",Civil Engineering,GM,1694.0,2791.0,Bangalore,Autonomous,
"E006 M S Ramaiah Institute of Technology, Bangalore(AUTONOMOUS) VIDYA SOUDHA,MSR NAGAR,MSRIT POST,BANGALORE - 560054.",Computer Science and Engineering,GM,1915.0,4208.0,Bangalore,Autonomous,
"E006 M S Ramaiah Institute of Technology, Bangalore(AUTONOMOUS) VIDYA SOUDHA,MSR NAGAR,MSRIT POST,BANGALORE - 560054.",Computer Science and Engineering (AI & ML),GM,8718.0,20751.0,Bangalore,Autonomous,
"E006 M S Ramaiah Institute of Technology, Bangalore(AUTONOMOUS) VIDYA SOUDHA,MSR NAGAR,MSRIT POST,BANGALORE - 560054.",Computer Science and Engineering (Data Science),GM,4787.0,10791.0,Bangalore,Autonomous,
"E006 M S Ramaiah Institute of Technology, Bangalore(AUTONOMOUS) VIDYA SOUDHA,MSR NAGAR,MSRIT POST,BANGALORE - 560054.",Electronics and Communication Engineering,GM,5254.0,15248.0,Bangalore,Autonomous,
"E006 M S Ramaiah Institute of Technology, Bangalore(AUTONOMOUS) VIDYA SOUDHA,MSR NAGAR,MSRIT POST,BANGALORE - 560054.",Information Science and Engineering,GM,3720.0,7708.0,Bangalore,Autonomous,
"E006 M S Ramaiah Institute of Technology, Bangalore(AUTONOMOUS) VIDYA SOUDHA,MSR NAGAR,MSRIT POST,BANGALORE - 560054.",Mechatronics Engineering,GM,2567.0,4080.0,Bangalore,Autonomous,
"E007 Dayananda Sagar College of Engineering, Bangalore(AUTONOMOUS) SHAVIGE MALLESHWARA HILLS, KUMARASWAMY LAYOUT, BANGALORE-560078",Aeronautical Engineering,GM,8972.0,12812.0,Bangalore,Autonomous,
"E007 Dayananda Sagar College of Engineering, Bangalore(AUTONOMOUS) SHAVIGE MALLESHWARA HILLS, KUMARASWAMY LAYOUT, BANGALORE-560078",Artificial Intelligence and Machine Learning,GM,35193.0,81406.0,Bangalore,Autonomous,
"E007 Dayananda Sagar College of Engineering, Bangalore(AUTONOMOUS) SHAVIGE MALLESHWARA HILLS, KUMARASWAMY LAYOUT, BANGALORE-560078",Biotechnology,GM,14639.0,48638.0,Bangalore,Autonomous,
"E007 Dayananda Sagar College of Engineering, Bangalore(AUTONOMOUS) SHAVIGE MALLESHWARA HILLS, KUMARASWAMY LAYOUT, BANGALORE-560078",Chemical Engineering,GM,19683.0,,Bangalore,Autonomous,
"E007 Dayananda Sagar College of Engineering, Bangalore(AUTONOMOUS) SHAVIGE MALLESHWARA HILLS, KUMARASWAMY LAYOUT, BANGALORE-560078",Civil Engineering,GM,4768.0,7846.0,Bangalore,Autonomous,
"E007 Dayananda Sagar College of Engineering, Bangalore(AUTONOMOUS) SHAVIGE MALLESHWARA HILLS, KUMARASWAMY LAYOUT, BANGALORE-560078",Computer Science and Engineering,GM,5170.5,9323.0,Bangalore,Autonomous,
"E007 Dayananda Sagar College of Engineering, Bangalore(AUTONOMOUS) SHAVIGE MALLESHWARA HILLS, KUMARASWAMY LAYOUT, BANGALORE-560078",Computer Science and Engineering (AI & ML),GM,25525.0,49720.0,Bangalore,Autonomous,
"E007 Dayananda Sagar College of Engineering, Bangalore(AUTONOMOUS) SHAVIGE MALLESHWARA HILLS, KUMARASWAMY LAYOUT, BANGALORE-560078",Computer Science and Engineering (Data Science),GM,4718.0,7565.0,Bangalore,Autonomous,
"E007 Dayananda Sagar College of Engineering, Bangalore(AUTONOMOUS) SHAVIGE MALLESHWARA HILLS, KUMARASWAMY LAYOUT, BANGALORE-560078",Electronics and Communication Engineering,GM,5707.0,9151.0,Bangalore,Autonomous,
"E007 Dayananda Sagar College of Engineering, Bangalore(AUTONOMOUS) SHAVIGE MALLESHWARA HILLS, KUMARASWAMY LAYOUT, BANGALORE-560078",Mechatronics Engineering,GM,6361.0,10755.0,Bangalore,Autonomous,
"E008 Bangalore Institute of Technology, K.R.Road, Bangalore (AUTONOMOUS) K.R.ROAD, V.V.PURA, BANGALORE-560004",Artificial Intelligence and Machine Learning,GM,63170.0,117401.0,Bangalore,Autonomous,
"E008 Bangalore Institute of Technology, K.R.Road, Bangalore (AUTONOMOUS) K.R.ROAD, V.V.PURA, BANGALORE-560004",Civil Engineering,GM,7481.5,12460.0,Bangalore,Autonomous,
"E008 Bangalore Institute of Technology, K.R.Road, Bangalore (AUTONOMOUS) K.R.ROAD, V.V.PURA, BANGALORE-560004",Computer Science and Engineering,GM,6051.0,10993.7,Bangalore,Autonomous,
"E008 Bangalore Institute of Technology, K.R.Road, Bangalore (AUTONOMOUS) K.R.ROAD, V.V.PURA, BANGALORE-560004",Computer Science and Engineering (AI & ML),GM,35862.0,67835.0,Bangalore,Autonomous,
"E008 Bangalore Institute of Technology, K.R.Road, Bangalore (AUTONOMOUS) K.R.ROAD, V.V.PURA, BANGALORE-560004",Computer Science and Engineering (Data Science),GM,14851.0,30331.0,Bangalore,Autonomous,
"E008 Bangalore Institute of Technology, K.R.Road, Bangalore (AUTONOMOUS) K.R.ROAD, V.V.PURA, BANGALORE-560004",Electronics and Communication Engineering,GM,7581.0,12266.0,Bangalore,Autonomous,
"E008 Bangalore Institute of Technology, K.R.Road, Bangalore (AUTONOMOUS) K.R.ROAD, V.V.PURA, BANGALORE-560004",Information Science and Engineering,GM,14429.0,24762.0,Bangalore,Autonomous,
"E008 Bangalore Institute of Technology, K.R.Road, Bangalore (AUTONOMOUS) K.R.ROAD, V.V.PURA, BANGALORE-560004",Mechatronics Engineering,GM,10833.0,19177.0,Bangalore,Autonomous,
"E009 PES University 100 Feet Ring Road, Banashankari, 3rd Stage, Hosakerehalli, Near DSERT, , Bangalore KARNATAKA, pin code -560085",Biotechnology,GM,1494.0,2694.0,Pin Code,Government,
"E009 PES University 100 Feet Ring Road, Banashankari, 3rd Stage, Hosakerehalli, Near DSERT, , Bangalore KARNATAKA, pin code -560085",Computer Science and Engineering,GM,3645.0,8400.0,Pin Code,Government,
"E009 PES University 100 Feet Ring Road, Banashankari, 3rd Stage, Hosakerehalli, Near DSERT, , Bangalore KARNATAKA, pin code -560085",Computer Science and Engineering (Data Science),GM,934.0,1654.0,Pin Code,Government,
