college_name,branch,category,cutoff
"E001 Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",ARTIFICIAL,GM,7213.0
"E001 Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",INTELLIGENCE AND DATA SCIENCE CIVIL,GM,55203.0
"E001 Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",ENGINEERING COMPUTER,GM,5020.0
"E001 Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",SCIENCE AND ENGINEERING ELECTRICAL &,GM,22495.0
"E001 Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",ELECTRONICS ENGINEERING ELECTRONICS,GM,9544.0
"E001 Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",AND COMMUNICATIO N ENGG INFORMATION,GM,7713.0
"E001 Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",SCIENCE AND ENGINEERING MECHANICAL,GM,49547.0
"E002 Govt.S K S J T Institute of Engineering, Bangalore AMBEDKAR VEEDHI, K.R. CIRCLE, BANGALORE-01",CIVIL,GM,89550.0
"E002 Govt.S K S J T Institute of Engineering, Bangalore AMBEDKAR VEEDHI, K.R. CIRCLE, BANGALORE-01",ENGINEERING COMPUTER,GM,26717.0
"E002 Govt.S K S J T Institute of Engineering, Bangalore AMBEDKAR VEEDHI, K.R. CIRCLE, BANGALORE-01",SCIENCE AND ENGINEERING ELECTRONICS,GM,37502.0
"E002 Govt.S K S J T Institute of Engineering, Bangalore AMBEDKAR VEEDHI, K.R. CIRCLE, BANGALORE-01",AND 5 COMMUNICATIO N ENGG SILK,GM,247848.0
"E002 Govt.S K S J T Institute of Engineering, Bangalore AMBEDKAR VEEDHI, K.R. CIRCLE, BANGALORE-01",TECHNOLOGY 5 TEXTILES,GM,261534.0
"E003 B M S College of Engineering, Basavanagudi, Bangalore (AUTONOMOUS) POST BOX NO 1908, BULL TEMPLE ROAD,BANGALORE",CIVIL,GM,32722.5
"E003 B M S College of Engineering, Basavanagudi, Bangalore (AUTONOMOUS) POST BOX NO 1908, BULL TEMPLE ROAD,BANGALORE",ENGINEERING ELECTRICAL &,GM,10575.7
"E003 B M S College of Engineering, Basavanagudi, Bangalore (AUTONOMOUS) POST BOX NO 1908, BULL TEMPLE ROAD,BANGALORE",ELECTRONICS 5 ENGINEERING ELECTRONICS,GM,3114.0
"E003 B M S College of Engineering, Basavanagudi, Bangalore (AUTONOMOUS) POST BOX NO 1908, BULL TEMPLE ROAD,BANGALORE",AND COMMUNICATIO N ENGG INDUSTRIAL,GM,32144.0
"E003 B M S College of Engineering, Basavanagudi, Bangalore (AUTONOMOUS) POST BOX NO 1908, BULL TEMPLE ROAD,BANGALORE",ENGINEERING & 5 MANAGEMENT MECHANICAL,GM,17812.0
